nome_bairro,nome_regiao_regioes_id
Centro,CENTRO
Cidade,CENTRO
Vila Alta,CENTRO
Vila General Wolfgrand,CENTRO
Vila América,CENTRO
Vila Ilgenfritz,CENTRO
Vila Clementina,CENTRO
Jardim Aclimação (parte),CENTRO
Vila Bartiria,CENTRO
São Francisco,CENTRO
Vila São Francisco,CENTRO
Vila Helena,CENTRO
Vila Anfe,CENTRO
Vila Cristina,CENTRO
Vila São Sebastião,CENTRO
Vila Aprazível,CENTRO
Jardim Cidade,CENTRO
Jardim Brasil,CENTRO
Vila Alto das Paineiras,CENTRO
Desmembramento Sanziro Katayama,CENTRO
Vila São Thomé,CENTRO
Vila Capri,CENTRO
Vila Benjamim,CENTRO
Nossa Senhora de Fátima (parte),CENTRO
Monte Castelo (parte),CENTRO
Vila Esplanada,CENTRO
Vila São Luís,CENTRO
Cofermat,CENTRO
Vila Santa Bárbara,CENTRO
Vila Lídia (parte),CENTRO
Cascudo,CENTRO
Jardim São Paulo (parte),CENTRO
Cruzeiro,CENTRO
Clube Campestre Ypê,CENTRO
Coronel Antonino (parte),CENTRO
Monte Castelo (parte),CENTRO
Nossa Senhora de Fátima (parte),CENTRO
Vila Rosa,CENTRO
Vila Marman,CENTRO
Vila Gomes,CENTRO
Vila Célia,CENTRO
Vila Sílvia 2ª Seção,CENTRO
Coophagrande (Conjunto Eudes Costa),CENTRO
Vila Suíça,CENTRO
Conjunto Residencial Monte Castelo,CENTRO
Coophaban,CENTRO
Jardim dos Estados,CENTRO
Vila Santa Odete,CENTRO
Vila Guaraciaba,CENTRO
Vila Tupaceretan,CENTRO
Vila Esportiva,CENTRO
Jardim Aclimação (parte),CENTRO
Vila XV de Novembro,CENTRO
Jardim 7 de Setembro,CENTRO
Vila Mandeta,CENTRO
Cachoeirinha (parte),CENTRO
Vila São Jorge,CENTRO
Cachoeira,CENTRO
Vila Onze,CENTRO
Vila São Gabriel,CENTRO
Vila Mariana,CENTRO
Vila Bernardo Goldman,CENTRO
Vila Isís,CENTRO
Vila Abdo,CENTRO
Vila Alto Campo de Marte,CENTRO
Vila Santério,CENTRO
Vila da Saúde,CENTRO
Vila Paulistana,CENTRO
Vila Paraíso,CENTRO
Vila Paraíso Suplemento,CENTRO
Vila São Elias,CENTRO
Vila Lia,CENTRO
Chácara dos Coqueiros,CENTRO
Vila Rolim,CENTRO
Desmembramento Clara Goldman,CENTRO
Desmembramento Hugo Zapata,CENTRO
Vila Santos Gomes (parte),CENTRO
Vila Suburbano,CENTRO
Vila Sant’ana,CENTRO
Vila Maria,CENTRO
Chácara Cachoeira (parte),CENTRO
Bela Vista,CENTRO
Jardim Bela Vista,CENTRO
Vila Costa Lima,CENTRO
Jardim Santa Catarina,CENTRO
Chácara Vendas,CENTRO
Jardim Nova Era,CENTRO
Residencial Village,CENTRO
Vila Antônio Vendas (parte),CENTRO
Desmembramento Antônio Vendas,CENTRO
Vila Miguel Couto (parte),CENTRO
Jardim Alegre (parte),CENTRO
Desmembramento Chácara Vendas,CENTRO
Jardim Ibirapuera (parte),CENTRO
Chácara Boa Vista,CENTRO
Villa Di Parma,CENTRO
Itanhangá,CENTRO
Itanhangá Park,CENTRO
Jardim Piracicaba,CENTRO
Vila Gatão,CENTRO
Vila Rosa Pires,CENTRO
Vila Dr. João Rosa,CENTRO
Vila Rezende,CENTRO
Jardim Vista Alegre,CENTRO
Vila Joselito,CENTRO
Coophamorena,CENTRO
Desmembramento Glaucos da Costa Marques,CENTRO
São Bento,CENTRO
Jardim São Bento,CENTRO
Vila Nova São Bento,CENTRO
Jardim Guarujá,CENTRO
Vila Galvão,CENTRO
Monte Líbano,CENTRO
Jardim Monte Líbano,CENTRO
Vila Santo André,CENTRO
Jardim de Allah,CENTRO
Vila Antônio Inácio de Souza,CENTRO
Glória,CENTRO
Vila Glória,CENTRO
Vila Fortuna,CENTRO
Vila Eva,CENTRO
Vila Oriente,CENTRO
Vila Gaspar,CENTRO
Vila Taveira,CENTRO
Vila Sol Nascente,CENTRO
Vila Ornelas,CENTRO
Vila Santa Filomena,CENTRO
Vila São Miguel,CENTRO
Vila Castelo,CENTRO
Vila Jardim Alvorada,CENTRO
Vila Liberdade,CENTRO
Vila Santa Dorothea,CENTRO
Carvalho,CENTRO
Vila Carvalho,CENTRO
Vila Nossa Senhora de Lourdes,CENTRO
Vila São José,CENTRO
Vila Santa Maria,CENTRO
Vila Quito,CENTRO
Vila Carvalho Baís,CENTRO
Desmembramento Emílio Cury,CENTRO
Vila São Rafael,CENTRO
Vila Oliveira,CENTRO
Vila Americana,CENTRO
Vila Santa Luiza,CENTRO
Amambaí,CENTRO
Vila Perseverança,CENTRO
Vila Maracajú,CENTRO
Vila Guenka,CENTRO
Vila São João,CENTRO
Vila Santo Antônio,CENTRO
Vila Olga,CENTRO
Vila Barão do Rio Branco,CENTRO
Vila Aurora,CENTRO
Vila Warde,CENTRO
Vila Floresta,CENTRO
Vila Portão de Ferro,CENTRO
Vila Orpheu Baís,CENTRO
Vila São Vicente,CENTRO
Cohasmat (Sargento Amaral),CENTRO
Cabreúva,CENTRO
Vila Esplanada 2ª Seção,CENTRO
Vila Feliciana Carolina (parte),CENTRO
Vila Santa Rosa (parte),CENTRO
Vila Marisa,CENTRO
Vila Guarani,CENTRO
Vila Independência,CENTRO
Planalto,CENTRO
Vila Planalto,CENTRO
Vila Soares,CENTRO
Vila Soares 2ª Seção,CENTRO
Vila São Manoel,CENTRO
Vila Santa Tereza,CENTRO
Vila Estephania,CENTRO
Vila Santa Rosa (parte),CENTRO
Vila Feliciana Carolina (parte),CENTRO
Vila Alto Sumaré,CENTRO
Vila Corumbá,CENTRO
Vila Santos,CENTRO
Vila Boa Vista,CENTRO
Monte Verde,CENTRO
Colinas de Campo Grande,CENTRO
Sky Residence,CENTRO
